model_path,episode,reward,avg_delay,total_energy,steps
episode_0_model.pth,0,-20.6029,469.122626,2148.93,30
episode_20_model.pth,20,-20.5885,608.308831,1204.11,30
episode_40_model.pth,40,-22.2075,527.831161,2325.12,30
episode_60_model.pth,60,-17.9919,493.88445,1552.68,30
episode_80_model.pth,80,-18.0929,536.314017,1432.94,30
episode_100_model.pth,100,-18.2564,530.274853,1493.04,30
episode_120_model.pth,120,-18.1008,516.833759,1477.5,30
episode_140_model.pth,140,-16.8469,557.846098,1174.76,30
episode_160_model.pth,160,-16.4797,519.675778,1201.14,30
episode_180_model.pth,180,-16.3501,538.190434,1191.41,30
episode_200_model.pth,200,-16.3455,531.625189,1191.4,30
episode_220_model.pth,220,-16.8383,567.555806,1404.17,30
episode_240_model.pth,240,-20.0788,502.279253,2182.91,30
episode_260_model.pth,260,-19.0756,523.161826,1907.07,30
episode_280_model.pth,280,-19.6355,530.840623,1989.13,30
episode_300_model.pth,300,-16.7855,585.476635,1312.88,30
episode_320_model.pth,320,-16.7481,575.686934,1366.21,30
episode_340_model.pth,340,-17.422,548.042477,1451.48,30
episode_360_model.pth,360,-17.2588,519.989531,1451.38,30
episode_380_model.pth,380,-16.7227,567.235165,1246.46,30
episode_400_model.pth,400,-16.3775,579.474902,1210.86,30
episode_420_model.pth,420,-16.2496,583.833716,1172.24,30
episode_440_model.pth,440,-16.3054,587.250284,1196.66,30
episode_460_model.pth,460,-16.1152,590.237785,1162.51,30
episode_480_model.pth,480,-16.1108,590.95983,1144.52,30
