model_path,episode,reward,avg_delay,total_energy,steps
episode_0_model.pth,0,-14.3569,236.749026,14304.87,30
episode_20_model.pth,20,-16.4651,265.098361,20070.62,30
episode_40_model.pth,40,-16.4855,273.308183,13820.82,30
episode_60_model.pth,60,-17.0966,270.118519,14117.23,30
episode_80_model.pth,80,-15.7587,253.93096,13974.15,30
episode_100_model.pth,100,-15.148,244.214766,14132.93,30
episode_120_model.pth,120,-15.9789,237.2964,14185.78,30
episode_140_model.pth,140,-16.4307,239.765418,14878.31,30
episode_160_model.pth,160,-16.2421,244.025018,13865.32,30
episode_180_model.pth,180,-16.5539,247.631279,14615.08,30
episode_200_model.pth,200,-16.6061,247.436445,13858.21,30
episode_220_model.pth,220,-16.0836,244.693883,14206.64,30
episode_240_model.pth,240,-16.4437,249.781825,14232.93,30
episode_260_model.pth,260,-16.6,246.544011,14425.73,30
episode_280_model.pth,280,-16.1658,241.825039,14402.58,30
episode_300_model.pth,300,-15.9303,245.134527,14107.18,30
episode_320_model.pth,320,-16.5173,245.12537,14439.24,30
episode_340_model.pth,340,-16.5319,240.056509,14636.29,30
episode_360_model.pth,360,-16.4398,244.777233,14610.15,30
episode_380_model.pth,380,-16.3439,241.87301,14622.39,30
episode_400_model.pth,400,-16.042,242.038434,14728.76,30
episode_420_model.pth,420,-15.6683,250.432391,14405.24,30
episode_440_model.pth,440,-15.6475,249.544902,14687.64,30
episode_460_model.pth,460,-16.2197,262.069375,14473.11,30
episode_480_model.pth,480,-16.349,268.609674,14314.07,30
