episode,reward,task_energy,movement_energy,max_delay,steps,uav_0_delay,uav_1_delay
0,-45.1795,139.6775,19970.3579,47.590762,40,48.72295,52.0135
1,-46.669,139.9869,23393.5365,48.718307,40,53.892468,49.615037
2,-46.7399,129.9868,24806.5678,55.999327,40,58.372995,55.550277
3,-40.8909,83.3498,18742.7367,81.634987,40,88.16353,59.910588
4,-27.8805,32.2067,3832.8215,92.530232,40,90.99447,81.620351
5,-27.2983,24.5597,6206.0315,93.116382,40,91.288988,85.811617
6,-28.0107,24.367,8358.689,93.150197,40,84.501018,93.398457
7,-26.0798,24.3294,2782.7239,93.162462,40,82.688233,92.343011
8,-26.3475,25.5242,2883.4207,93.134786,40,81.034019,92.960587
9,-26.3971,24.9827,3439.8737,92.976971,40,81.294366,92.888346
10,-26.0667,24.3495,2737.5424,93.155498,40,89.654664,88.748344
11,-25.5819,24.3413,1336.9506,93.158491,40,91.015736,87.819101
