episode,reward,task_energy,transmission_energy,movement_energy,steps,uav_0_delay,uav_1_delay
0,-21.8354,33.7016,5.5882,76139.2952,20,48.557332,38.019089
1,-21.6438,33.7023,5.4241,75623.1182,20,47.551004,37.878187
2,-21.9806,33.7027,5.6742,76015.6093,20,47.895673,39.653183
3,-21.2264,34.4031,4.908,76437.1536,20,43.579562,38.119565
4,-25.0411,40.6307,5.4671,76737.0842,20,48.564847,48.610101
5,-24.987,40.519,5.4495,75557.783,20,59.940319,37.098065
6,-21.6913,34.1785,5.346,75541.9439,20,48.933636,35.971683
7,-22.4505,36.2537,5.1907,76969.4841,20,37.036637,49.694072
8,-21.7453,36.7545,4.3987,76659.0537,20,27.95011,53.889684
9,-21.6376,35.2404,5.195,75668.2014,20,35.829323,46.508377
10,-21.5789,36.0782,5.2848,76483.366,20,63.760693,15.832163
11,-22.1144,35.3825,5.8166,76755.8416,20,58.406928,25.847702
12,-21.9275,34.7725,5.3176,76522.4198,20,35.029317,50.511957
13,-22.8314,35.1393,5.993,77560.7842,20,59.90383,30.441148
14,-21.3183,35.2056,5.3752,76093.5647,20,62.60389,16.641964
15,-21.9493,35.9246,5.0272,76223.3385,20,55.33527,28.443326
16,-21.8419,35.8096,4.8478,76192.0555,20,48.730184,34.925323
17,-21.6834,35.6229,4.8416,75910.9054,20,44.22599,38.566161
18,-22.0166,35.1022,5.5102,75498.4682,20,36.756625,48.204407
19,-21.9196,34.8776,5.5403,75845.1018,20,42.095596,42.50665
20,-21.3482,34.7365,5.0738,75455.0399,20,47.610012,33.849077
21,-20.9788,34.6935,4.7034,74709.96,20,46.15615,33.346979
22,-21.2154,34.6242,4.942,74938.6283,20,45.006071,35.977418
23,-21.018,34.3999,4.8598,75058.2399,20,43.673711,36.423552
24,-20.1517,33.8603,4.4308,75083.8683,20,44.164275,31.168766
25,-20.8853,34.0748,4.8341,75027.151,20,42.956403,36.879274
26,-20.5261,33.788,4.5687,75095.9711,20,35.254677,43.000755
27,-20.5143,33.9713,4.4312,74869.6658,20,31.970546,46.131143
28,-20.8976,34.0936,4.9269,75149.314,20,42.306898,37.327283
29,-20.5351,33.884,4.6396,74658.3269,20,43.218757,34.684835
30,-20.0849,33.9347,4.1674,74753.2831,20,40.871886,34.458788
31,-19.0753,33.8416,3.3385,74671.225,20,42.372274,27.043454
32,-18.9967,33.8425,3.3193,74166.5231,20,38.949879,29.860007
33,-18.8923,33.7468,3.1682,73921.474,20,40.664574,27.921744
34,-19.0815,33.9776,3.208,73619.0763,20,34.668513,34.838542
35,-19.3079,34.4193,3.1451,73280.4562,20,31.328765,39.192193
36,-19.6263,33.953,3.4264,74044.1019,20,39.916985,33.598975
37,-21.2291,34.0392,5.2463,73163.3846,20,34.807571,46.840273
38,-19.4847,33.9351,3.3987,73138.7272,20,39.385034,33.066373
39,-19.0627,34.0149,3.1056,73027.768,20,28.722607,40.823583
40,-19.2198,33.886,3.1983,72648.5622,20,32.618109,38.292386
41,-18.7243,33.9766,2.8327,72941.5694,20,38.212824,29.353981
42,-18.8711,33.8122,2.9496,73075.0873,20,36.456567,32.406132
43,-18.7363,33.8538,2.817,72675.1201,20,39.784099,28.220237
44,-19.0514,33.8028,3.0228,72986.2761,20,39.770655,30.418888
45,-18.7755,33.9084,2.7889,72606.2773,20,39.519397,28.760559
46,-18.9056,34.0269,2.8597,72914.0913,20,40.133784,28.754929
47,-18.6937,34.0233,2.7336,72994.3332,20,40.014798,27.460448
48,-18.7228,34.1576,2.7393,73043.5235,20,40.095163,27.287015
49,-18.7908,34.0817,2.8587,73571.8523,20,40.326056,27.473493
50,-18.7015,34.1057,2.7439,72977.1473,20,39.893802,27.42066
51,-18.7681,34.1283,2.8,72821.4822,20,40.149018,27.512482
52,-19.2391,34.277,2.9505,72992.9184,20,40.09044,30.738127
53,-20.0974,34.546,3.3731,73204.997,20,40.595564,35.594128
54,-20.0638,34.5215,3.412,73571.425,20,42.493893,33.364683
55,-20.5841,34.4369,3.8991,74094.8974,20,42.315437,36.741818
56,-21.2034,34.3745,4.2835,73787.5456,20,40.585985,42.7311
57,-21.2184,34.4041,4.3066,73909.1999,20,40.596405,42.711093
58,-21.047,34.0977,4.4481,72743.8864,20,40.483119,41.728209
59,-21.2363,34.2826,4.5915,72545.5289,20,40.559374,42.393473
60,-21.298,34.1891,4.6673,73096.0116,20,42.180086,41.301976
61,-19.9214,34.2565,3.419,73101.6062,20,40.914505,34.36691
62,-18.878,34.04,2.7935,72541.8705,20,40.455295,28.355319
63,-18.835,34.0009,2.8325,72672.308,20,40.604719,27.830628
64,-18.7976,34.1201,2.7639,72694.219,20,40.551831,27.477391
65,-19.0164,34.357,2.835,72883.4059,20,41.167785,27.927222
66,-19.2654,34.6536,2.8754,72597.6755,20,46.184817,24.172548
67,-19.6568,34.2359,3.221,73184.2482,20,43.859569,29.808304
68,-20.8607,34.553,4.0626,73103.1413,20,41.126239,39.512165
69,-21.949,35.393,4.9913,73918.4455,20,34.191907,50.956019
70,-20.7171,35.2069,3.9526,73150.2941,20,31.695186,46.484026
71,-18.9282,34.4662,2.7465,72879.1433,20,39.627508,28.715227
72,-18.6111,33.9271,2.7171,72703.7994,20,40.282108,26.778234
73,-18.5362,33.8139,2.694,72549.0309,20,37.919825,28.848062
74,-18.5545,33.7857,2.7078,72543.0365,20,39.83839,27.111853
75,-18.5792,33.8,2.7081,72383.4248,20,40.105054,27.016693
76,-18.6753,34.0101,2.7202,71996.4172,20,40.233567,27.156928
77,-18.6745,33.8934,2.7634,71191.3131,20,39.993791,27.547834
78,-18.7403,33.8676,2.8541,70801.938,20,40.133404,27.767778
79,-18.8754,33.9457,2.8749,70553.3677,20,42.328395,26.458497
80,-19.0632,34.0696,2.8839,70192.874,20,51.236461,18.801886
81,-19.2164,34.3798,2.9937,70323.694,20,51.901867,18.369895
82,-18.9696,34.1511,2.8992,70132.4811,20,44.755661,24.261174
83,-18.8815,34.0507,2.9041,70056.5094,20,41.743202,26.762473
84,-18.9862,34.2625,2.9112,70174.6298,20,45.851645,23.004108
85,-19.1313,34.1825,3.0214,69818.0622,20,45.552787,24.401868
86,-19.1949,34.352,2.9954,69769.9953,20,50.016207,20.137438
87,-19.2492,34.4423,3.015,70286.6188,20,49.242795,21.095156
88,-19.2681,34.5036,2.9516,70395.7961,20,53.45026,17.075921
89,-19.4552,34.8043,2.9811,70138.1189,20,51.609419,19.681038
90,-19.2951,34.5622,2.9647,69970.1569,20,51.406736,19.168441
91,-19.3493,34.6349,2.9637,70115.7785,20,53.671405,17.186171
92,-19.2765,34.4842,2.9009,70349.792,20,53.414252,17.369987
93,-19.3948,34.6447,2.9636,70003.8348,20,53.760032,17.455539
94,-19.1041,34.3418,2.9219,70206.5992,20,47.448638,22.174706
95,-19.3232,34.5154,2.9277,70512.5867,20,53.623591,17.401842
96,-19.3487,34.6395,2.9264,70815.6653,20,53.79343,17.152811
97,-19.2489,34.6798,2.9394,70562.1771,20,50.567128,19.411355
98,-19.3687,34.7645,2.9567,70510.7115,20,51.459067,19.270858
99,-19.4838,34.9937,2.9405,70518.2144,20,54.274331,16.915799
100,-19.4391,34.868,2.9376,70279.8055,20,54.068944,17.056031
101,-19.4326,34.8119,2.9312,70349.4059,20,53.994879,17.227836
102,-19.4716,34.9692,2.9039,70696.0881,20,54.28439,16.964253
103,-19.5629,35.1195,3.0039,70482.7901,20,54.773495,16.6008
104,-19.6207,35.2494,2.9399,70688.4724,20,54.906192,16.820254
105,-19.5455,35.1125,2.9645,70436.4462,20,54.63367,16.721989
106,-19.5195,35.0744,2.98,70592.0309,20,54.554677,16.63151
107,-19.6027,35.2176,2.964,70425.7404,20,54.78738,16.797309
108,-19.4401,34.7537,2.9864,70802.2554,20,54.151135,17.119237
109,-19.2187,34.3312,2.8807,70969.7912,20,52.230165,18.492786
110,-19.1634,34.3048,2.8304,71182.3589,20,52.989674,17.473586
111,-18.8553,33.9742,2.8685,71270.7513,20,40.597726,27.971414
112,-18.6677,33.9572,2.7556,72019.7446,20,40.151844,27.202384
113,-18.7856,33.9816,2.709,72422.9131,20,45.574505,22.838492
114,-19.1028,34.242,2.7978,72272.8041,20,53.01579,17.181995
115,-19.2065,34.4031,2.8522,72279.5943,20,53.398202,17.130395
116,-19.1854,34.3846,2.817,72209.9688,20,53.258998,17.234674
117,-19.2978,34.5167,2.854,71507.2405,20,53.753658,17.262367
118,-19.4082,34.7435,2.9478,71301.6783,20,50.058009,21.077735
119,-19.3616,34.6214,2.8647,71197.6311,20,52.54459,18.725177
120,-19.2037,34.4225,2.8398,71073.4448,20,53.384105,17.109085
121,-19.2045,34.4358,2.8861,70584.0633,20,53.421538,16.916708
122,-19.2438,34.4639,2.9669,70100.1888,20,53.508909,16.866233
123,-19.2243,34.4168,2.9611,70372.6216,20,53.506216,16.83408
124,-18.9898,34.1336,2.9799,70359.8281,20,49.690248,19.312278
125,-19.0817,34.0227,2.9562,70303.5709,20,43.588508,26.514659
126,-19.0976,34.0641,2.9898,70090.1876,20,45.036231,25.00701
127,-19.0267,34.0074,2.9887,70259.517,20,41.004203,28.5841
128,-19.2295,34.2609,3.0502,70293.3504,20,45.436829,25.071409
129,-19.301,34.3906,2.9981,70102.7965,20,47.096043,23.846069
130,-19.3573,34.6646,3.025,70033.7575,20,53.621387,17.061386
131,-19.4838,34.7535,3.0889,69672.5421,20,54.475124,16.875279
132,-19.3967,34.6688,3.0601,70002.3162,20,54.272847,16.632111
133,-19.3409,34.5823,3.0231,69988.3883,20,53.983581,16.764323
134,-19.301,34.4527,3.0541,69693.0273,20,52.52071,18.116846
135,-19.2214,34.276,3.0339,69698.8181,20,49.251553,21.198519
136,-19.388,34.5807,3.087,69534.784,20,50.945883,20.021198
137,-19.4497,34.7431,3.0525,69759.9838,20,54.117615,17.074444
138,-19.2074,34.2904,3.0277,69664.3199,20,46.964244,23.351664
139,-19.2984,34.3778,3.0662,69563.4742,20,49.853637,20.907088
140,-19.3386,34.63,3.0327,69858.8789,20,52.775013,17.812866
141,-19.1199,34.4023,3.0428,69581.067,20,52.306139,16.967175
142,-19.1886,34.3918,3.0548,69522.8982,20,47.566979,22.273416
143,-19.2345,34.6157,3.047,69642.1925,20,42.517805,27.193193
144,-19.3551,34.6429,3.0792,69725.7839,20,47.665559,22.899335
145,-19.4079,34.8955,3.0793,69753.8743,20,42.286539,28.115912
146,-19.4385,34.7238,3.0629,69700.7391,20,50.432515,20.683344
147,-19.3924,34.881,3.071,69520.7528,20,48.059943,22.270976
148,-19.4959,34.8494,3.0532,69585.3625,20,54.282358,17.040446
149,-19.5426,34.9957,3.0848,69629.2158,20,52.953607,18.321469
150,-19.3794,34.9239,3.0546,69699.1719,20,46.487536,23.677576
151,-19.5557,34.9607,3.0751,69654.4938,20,46.869266,24.626619
152,-19.7124,35.1845,3.0724,69541.326,20,46.687355,25.592252
153,-19.4555,34.7368,3.058,69634.3112,20,40.814038,30.425946
154,-19.4067,34.8217,3.0532,69532.0272,20,42.429141,28.21299
155,-19.3776,34.7462,3.0868,69622.6696,20,37.955882,32.528917
156,-19.2189,34.4483,3.0448,69514.3364,20,38.238944,31.747725
