episode,reward,avg_delay,total_energy,steps
0,-17.9417,189.431008,47982.36,30
1,-17.5837,186.174592,42692.04,30
2,-17.5417,189.498643,39386.19,30
3,-17.8041,188.427476,46513.51,30
4,-17.9097,189.204281,43756.24,30
5,-17.6626,188.410356,44895.24,30
6,-17.6244,186.042367,42665.71,30
7,-17.442,185.236595,48787.99,30
8,-18.1542,191.843835,50223.74,30
9,-21.6463,202.904308,76566.41,30
10,-21.9154,203.653625,72275.83,30
11,-21.3704,192.86371,81283.07,30
12,-18.2167,178.150731,50932.99,30
13,-18.067,166.966877,63594.48,30
14,-19.5032,173.152858,79849.53,30
15,-19.6557,176.836114,79335.65,30
16,-19.7219,183.202411,80620.14,30
17,-19.6969,182.907663,77448.19,30
18,-19.2579,181.542161,78657.69,30
19,-18.8669,173.543672,77122.29,30
20,-18.0608,167.406659,67809.7,30
21,-19.1586,163.967008,79686.59,30
22,-19.336,170.896617,70407.73,30
23,-19.2934,166.482106,66169.81,30
24,-20.4723,178.306026,75445.26,30
25,-18.6148,154.193995,77884.96,30
26,-19.4659,166.372341,71594.21,30
