episode,reward,avg_delay_sum,max_delay_sum,task_energy,move_energy,steps
0,-8.4909,2.150479,122.06942,6860.22,193325.32,40
1,-8.4655,2.148952,122.782537,6797.0,193579.09,40
2,-6.9811,2.188467,135.766318,5519.11,190444.64,40
3,-11.791,2.919196,184.384092,7261.46,190353.63,40
4,-7.6458,2.184894,131.175466,6323.63,187918.47,40
5,-7.2178,2.242218,129.84732,6048.55,186054.83,40
6,-5.7356,2.097849,120.860719,5266.51,186163.7,40
7,-6.0527,2.161756,125.699605,5366.23,185508.76,40
8,-6.0071,2.1524,122.901542,5394.07,185460.11,40
9,-5.658,2.102551,117.243795,5278.85,185924.76,40
10,-6.0969,2.073073,121.936721,5581.96,185495.11,40
11,-5.1346,1.967275,105.446814,5302.96,185352.89,40
12,-4.8615,1.954282,103.889687,5161.18,185322.39,40
13,-4.7908,1.939606,102.984369,5139.55,185384.73,40
14,-5.645,2.144948,113.964025,5308.55,185282.37,40
15,-5.977,2.208633,119.55525,5366.53,185329.55,40
16,-4.6693,1.913553,101.042165,5125.87,185290.39,40
17,-4.3388,1.844454,95.889723,5062.59,185348.42,40
18,-4.2757,1.834153,94.506078,5053.96,185347.99,40
19,-4.3376,1.844296,95.333879,5061.88,185514.79,40
20,-4.3072,1.837686,95.097733,5058.34,185427.82,40
21,-4.2643,1.826814,94.618396,5043.79,185554.4,40
22,-4.2376,1.825073,94.085323,5046.16,185360.97,40
23,-4.2122,1.817845,93.834078,5038.21,185407.89,40
24,-4.2557,1.82696,93.829307,5042.39,185720.54,40
25,-4.3419,1.849762,94.914627,5068.71,185499.13,40
26,-4.2934,1.83948,94.631278,5060.5,185325.78,40
27,-4.3119,1.842156,94.727262,5063.02,185418.76,40
28,-4.349,1.850075,95.465442,5071.49,185344.66,40
29,-4.271,1.830757,94.11223,5049.33,185601.84,40
30,-4.1955,1.814831,93.285541,5037.48,185474.68,40
31,-4.383,1.859407,95.383445,5079.49,185466.09,40
32,-4.3987,1.868578,95.408511,5086.29,185341.08,40
33,-4.3761,1.86392,95.122787,5083.35,185287.49,40
34,-4.2731,1.830943,94.479399,5053.63,185407.91,40
35,-4.1965,1.804801,94.894018,5025.71,185343.62,40
36,-4.732,1.862796,101.394118,5257.73,185402.93,40
37,-4.6223,1.860409,102.334903,5173.05,185462.08,40
38,-4.1224,1.799445,92.340245,5026.67,185346.17,40
39,-4.0849,1.78359,91.602582,5004.4,185853.55,40
40,-4.0561,1.765576,90.929918,4976.88,186624.85,40
41,-4.0925,1.733232,88.131555,4908.55,190021.87,40
42,-4.1254,1.736784,87.878416,4904.64,190548.04,40
43,-4.1435,1.743256,88.512988,4904.73,190482.63,40
44,-4.1878,1.76332,90.152324,4928.89,189602.51,40
45,-4.1964,1.757333,89.622676,4919.64,190203.59,40
46,-4.2276,1.766122,89.576103,4929.28,190245.11,40
47,-4.0515,1.736401,88.541478,4908.82,189399.55,40
48,-4.185,1.786803,90.587948,4962.0,188366.56,40
49,-4.1936,1.788357,91.546382,4966.61,188051.33,40
50,-4.0496,1.749415,89.303516,4935.21,188302.4,40
51,-3.9571,1.736076,88.548505,4927.18,187799.98,40
52,-3.9029,1.735257,88.55057,4942.67,186769.84,40
53,-3.9306,1.742481,88.749116,4952.06,186724.33,40
54,-3.8631,1.728528,87.782006,4938.38,186723.96,40
55,-3.9013,1.743233,88.867449,4962.22,186070.54,40
56,-3.8802,1.735488,88.226232,4957.23,186239.7,40
57,-3.867,1.729625,88.187683,4950.44,186337.66,40
58,-3.8341,1.725799,87.671865,4950.07,186166.78,40
59,-3.955,1.760213,89.810505,4986.71,185624.29,40
60,-3.874,1.741316,88.415345,4974.88,185615.07,40
61,-3.9155,1.749413,89.211756,4979.03,185659.42,40
62,-3.8435,1.736951,88.384418,4971.55,185409.52,40
63,-3.8139,1.725292,87.653558,4953.43,185857.75,40
64,-3.766,1.713751,87.057225,4943.79,185860.77,40
65,-3.7458,1.709416,87.359444,4942.7,185621.87,40
66,-3.7616,1.710505,87.636664,4951.97,185486.9,40
67,-3.7474,1.713092,86.885073,4950.32,185548.14,40
68,-3.8385,1.730727,88.809929,4967.73,185414.88,40
69,-3.7594,1.712882,87.324351,4951.92,185525.74,40
70,-3.9253,1.735882,89.387034,4999.29,185732.08,40
71,-3.7983,1.716297,87.528906,4979.21,185513.08,40
72,-3.6843,1.695026,85.874495,4938.96,185704.95,40
73,-3.7238,1.706823,87.011206,4944.73,185442.59,40
74,-3.9391,1.720545,90.297942,5040.59,185381.18,40
75,-3.7607,1.7187,86.725483,4956.69,185518.23,40
76,-3.6762,1.698649,85.272065,4926.49,185941.41,40
77,-3.8437,1.722663,87.667103,4986.32,185818.94,40
78,-3.6448,1.693319,85.235904,4929.39,185597.96,40
79,-3.6352,1.691801,85.311016,4937.14,185304.41,40
80,-3.6314,1.68782,85.19358,4930.07,185519.45,40
81,-3.6456,1.691872,85.12654,4932.01,185595.54,40
82,-3.6706,1.701852,85.624763,4944.76,185305.63,40
83,-3.6487,1.696255,85.392344,4940.67,185293.5,40
84,-3.8237,1.715567,87.489007,5007.2,185438.2,40
85,-3.8391,1.705387,90.189592,5022.0,185320.72,40
86,-3.5818,1.677722,84.269884,4919.03,185596.38,40
87,-3.8729,1.710394,88.81368,5030.96,185420.45,40
88,-3.6114,1.684607,84.709189,4920.4,185691.15,40
89,-3.6857,1.700769,85.786478,4938.14,185618.24,40
90,-3.7432,1.710606,86.112457,4944.84,185889.94,40
91,-4.2676,1.771419,94.904324,5134.82,185337.6,40
92,-3.654,1.691381,84.792089,4925.21,185961.61,40
93,-3.6381,1.693131,84.972947,4930.54,185585.45,40
94,-3.6597,1.698591,85.223733,4943.41,185391.61,40
95,-3.6289,1.686196,84.710149,4926.36,185743.47,40
96,-3.5953,1.679396,84.285836,4913.32,185887.67,40
97,-3.6336,1.689981,84.709986,4927.95,185712.81,40
98,-3.6222,1.687129,85.149906,4933.71,185365.04,40
99,-3.6247,1.689623,85.127782,4936.32,185300.1,40
